a'ne|marys
cho|gath
chr|rom
cic|ero
cin|der
ciri|on
cir|yon
ci|ri
ci|rila
clo|ver
cobl|orwitz
cole|man
col|mea
coma|reiro
com|ba
com|barro
com|bo
com|boa
con|rad
cord|ovin
cor|ki
cor|sac
cot|ta
co|al
co|co
cri|ca
cro|io
cro|uca
curi|ous
cur|ro
cyn|ric
c|thun
cóma|ro
d'|arby
dai|ba
dami|aan
dar|ius
day|nas
da|an
da|ra
dec|lan
des|caart
de|a
de|vo
dh|u
die|ter
dil|vyn
dimi|tri
di|or
djen|ge
dol|ce
dom|ek
don|ar
dor|na
dra|ig
dra|ven
dra|vin
drog|odar
du|du
du|ke
d|arce
ear|nil
eb|i
echi|ron
edel|gaard
eder|ne
ed|mund
eg|bert
eil|hart
ei|sa
ek|ko
elen|dur
ell|dure
elrin|dir
elt|rys
el|ise
el|m
el|rond
el|sa
el|une
embai|xada
emer|ald
enri|co
en|go
en|ki
en|thir
eo|mir
eo|wyn
eran|dur
eri|na
eri|za
erk|yn
ery|ka
er|mes
er|win
esir|nus
est|e
es|kel
evra|nin
ey|vind
ez|real
e|ola
fa|ll
fa|ts
fem|to
fen|ja
fen|rig
fir|ir
fi|ona
fi|ora
fi|zz
fler
fly|nt
fl|ora
fol|test
fo|ss
fran|cóis
fre|a
fre|ek
fre|tt
fre|y
fro|do
gabe|ela
galad|riel
gala|dor
gal|ga
gal|io
gam|bino
gan|dalf
gar|akh
gar|en
gar|thek
gas|coigne
gaun|ter
gau|cher
ga|etan
ga|jus
gel|lert
ger|alt
ge|els
ge|raint
ghir|a
gi|an
glai|stag
glyn|da
gn|ar
god|frey
gol|an
gol|lum
good|witch
gor|ar
gor|oth
gret|ka
grim|var
gris|var
gris|wold
gri|ma
gro'|gor
gro|uver
gr|im
gr|imm
gré|goire
gub|ia
gun|nar
gur|sakis
gus|stave
gwen|dolin
gwil|lin
gy|ro
had|ring
had|var
hak|kas
hal|far
hanne|man
har|ald
har|en
har|riet
hav|ekar
haz|el
ha|pi
hec|arim
heimer|dinger
hend|rik
hen|ki
hen|ryk
here|bane
hier|ophant
hild|egard
hil|da
hin|dar
hi|ll
hi|zan
hjal|mar
hjo|rt
ho|gus
ho|od
hub|recht
hus|sar
ig|gy
ill|aoi
ill|idan
il|ia
il|sa
iml|erith
ind|dech
ing|rid
ini|go
ini|go
ire|lia
iron|wood
ir|go
ir|me
isa|yah
isil|dur
iva|re
iv|ar
iv|ern
jac|ques
jai|na
jam|es
jan|na
jar|van
jas|kier
ja|une
ja|ved
ja|x
jen|assa
jeri|tza
jes|per
je|anne
je|eves
jhi|n
jin|x
joa|chim
jor|dis
jor|ic
jor|ulf
jo|uke
jura|nes
jut|ta
ju|de
jy|rik
j|zar
kael|thas
kai|sa
kai|ser
kal|ev
kal|i
kal|lista
kart|hus
kar|liah
kar|ma
kas|sadin
kat|la
kat|t
kay|le
kay|n
ka|rs
kei|ra
kel|thusad
ken|ch
ken|nen
ker|ah
kev|enel
khad|gar
khay|la
kha|n
kha|zix
ki|yan
kje|elle
kje|ld
kj|ar
klei|man
klep|pr
klim|mek
klu|hg
kl|ed
kn|ud
kod|lak
kog|maw
kos|tas
ko|be
ko|ri
kra|ki
kron|ya
kr|ev
kur|isu
ku|rt
ky|phon
ky|r
k|sante
lab|an
lai|la
lam|bert
lam|bert
lar|ina
lavin|ia
lav|vego
laz|ley
la|mi
la|sh
la|xe
le'|garde
leb|lanc
ledi|slava
leg|gua
leif|ur
ler|cha
les|lav
let|ho
leuva|arden
lev|in
le|e
le|garde
le|if
le|ira
le|o
le|ona
le|vi
lies|je
lies|l
lil|ly
lin|do
lin|hardt
lis|sandra
li|e
llan|ith
lok|ir
lona|to
lor|calin
loth|iriel
lot|har
lou|sa
lo|ng
lus|si
luth|ien
lu|lu
lu|x
lyca|ron
lyd|ia
lyf|fned
lyn|ly
lán|doa
lé|gua
mad|esi
mah|k
mah|tan
mair|e
mala|cath
malp|hite
malz|ahar
mal|colm
mal|koran
manif|co
man|dos
mao|kai
mari|gold
mari|na
mar|coh
mar|grit
mar|ia
mar|ulo
mar|yon
ma|dran
ma|jhad
ma|ven
ma|xim
ma|y
medi|vh
meh|rune
men|ja
men|ninyo
merc|urio
merc|ury
mer|cer
mer|cia
mer|erid
mer|idia
mik|ah
mik|kjal
mik|ul
mil|io
miri|el
mis|lav
mis|ta
mi|nyoca
mi|nyoca
mj|oll
moe|hoen
mog|durz
mog|us
more|else
morg|ana
mor|de
mor|enn
mor|goth
mor|vran
mor|wen
mour|anne
muel|ler
mun|do
mur|onil
mu|iri
my|son
m|aiq
m|rissi
n'|doul
naran|cia
nar|ciso
nar|cissa
nar|is
nas|'hrah
na|der
na|mira
na|sus
nep|tune
ner|zhul
ne|eko
ne|farian
ne|va
nida|lee
niel|la
nil|ah
nil|van
nith|ral
ni|ls
nja|da
nos|ramus
no|cci
no|ra
no|wi
num|inex
nush|ka
nu|nu
ny|kos
né|on
ochs|en
od|hen
od|olan
od|rin
od|van
og|g
oli|vier
ol|af
ol|ga
oob|leck
ori|anna
oro|dreth
or|gee
os|wald
os|win
otr|ygg
oz|pin
oz|zel
o|dimm
o|ri
o|rnn
o|saa
pall|ardó
pa|v
pendle|ton
pen|ny
pere|grin
per|kele
per|th
pes|ci
pet|er
pet|ter
pe|li
pe|za
phil|lipa
pog|g
pol|edina
pommer|anian
pop|py
por|t
po|co
pris|cilla
pri|am
pry|deri
pyr|rha
py|ke
qi|yana
qr|ow
rad|ko
rad|ovid
rae|rek
rag|nir
rain|art
ram|erot
ram|mus
rav|en
rav|ik
rav|yn
ra|en
ra|kan
rein|ald
rek|sai
rel|l
renek|ton
ren|adée
ren|gar
re|go
re|inn
re|n
re|uven
rie|gan
riv|en
riv|ia
ri|a
roa|ch
rob|yn
roda|ballo
rode|barth
rogg|vir
rog|g
rom|an
ron|n
ror|kus
ro|g
ro|se
ru|ar
ru|by
ru|ne
ru|nil
ru|rik
ry|ze
sa'a|ne
saa|dia
saer|lund
saf|fir
sak|nar
sal|em
sal|ma
sama|rie
sam|iar
san|guine
sap|phron
sar|this
sau|ron
say'|ri
sa|io
scar|latina
schne|e
scis|sors
sci|on
scor'|sava
sei|ros
sej|uani
sen|na
sen|ra
sera|phine
ser|en
ser|il
ser|kus
set|eth
sev|ara
sey|mour
se|ara
se|ro
se|tt
sha|co
sha|d
sha|dr
sha|hid
sha|mir
sha|ni
she|ala
she|n
shy|vana
sieg|fried
sil|at
sin
sin|ged
sit|tri
siv|ir
si|ward
sjae|lann
sjus|ta
skar|ner
skja|ll
skjo|r
slu|mp
sl|an
soe|ren
sol|on
sor|aka
sor|en
sor|ex
soth|is
so|l
so|na
so|nir
stau|bin
stau|fen
stei|n
stje|pan
strai|zo
stram|bus
stro|mm
sty|rr
suk|rus
sus|trai
suv|aris
svan|riga
sva|knir
sva|na
sver|re
sve|n
swai|n
sybi|lle
sylg|ja
sylvn|nas
syl|vain
syn|dra
syn|dus
sy|las
taa|rie
tah|m
tali|yah
tals|gar
tal|en
tar|i
tar|kus
tas|ca
tau|rus
ta|ma
tee|mo
teld|ryn
tel|rav
ter|ek
tev|ildo
thar|rja
thec|la
theo|den
thor|ek
thor|leif
thre|sh
thry|mm
thry|nn
thy|me
tir|ion
tjal|ve
torch|wick
tors|tein
tor|gun
tox|os
to|mas
to|na
to|xo
tran|ca
trav|ik
tra|do
tre|bo
tris|s
tris|tana
troen|der
tror|tur
tro|bo
tro|go
tro|sma
trus|sardi
tryg|vi
tryn|damere
tsa|zave
tul|kas
tu|rin
tyran|de
tyr|ian
uai|le
uai|ne
ub|ik
udal|ryk
ud|yr
ui|nen
ul|f
ul|fr
ure|us
ur|got
ut|hgerd
uv|e
vaer|mina
vai|re
val|dar
val|dimar
val|dr
val|en
val|gard
val|ke
val|kyrie
val|s
val|te
val|teil
van|ryth
var|da
var|eesa
var|ian
var|us
vas|ka
vay|ne
va|gn
va|jj
va|leera
va|salo
va|sha
vegel|bund
vei|gar
vek|el
vel|ehk
vel|erad
vel|koz
vel|vet
ver|an
ver|en
ver|nal
ver|ner
ver|non
ver|tz
ves|emir
ves|ilias
ves|na
ves|tra
vet|ala
ve|rea
ve|x
vid|grod
vig|i
vik|i
vik|tor
vil|ego
vil|kas
vim|me
vinu|shka
vir|rion
vival|di
vi|nu
vi|ola
vlad|imir
vok|un
volib|ear
volk|hard
vol|and
vol|kun
vol|sung
voor|his
vor|stag
voy|tek
vo|ref
walde|mar
war|wick
wat|ts
wei|ss
wey|lin
whit|ley
wil|helm
wil|low
wil|lump
winc|hester
win|ter
wolver|stone
wu|kong
xa|yah
xer|ath
xia|o
xi|n
yaev|inn
yamur|lak
yan|tek
yar|ne
yas|o
yas|u
ya|go
ya|ng
ya|ren
yen|nefer
yng|var
yng|vild
yor|ick
yo|ana
yo|la
yo|ne
yps|is
yr|el
ys|era
yu|ri
yu|umi
yv|ain
y|i
za|c
za|hin
zden|ek
zep|pe
ze|d
ze|ri
zh|ao
zi|lean
zoll|stock
zol|tan
zol|tan
zy|ra
ço|is
